region1,region2,exp_cap,log_exp_cap,perc_urban,perc_formal,perc_smp,perc_sma
Indonesia Barat,Jawa,646385.88,13.379152,.19304727,.18324807,.23193261,.12237903
Indonesia Barat,Jawa,706967.25,13.46874,.29687285,.23346205,.34509638,.20937428
Indonesia Barat,Jawa,715120.56,13.480206,.40131423,.37616822,.2815704,.15462179
Indonesia Barat,Jawa,729812.81,13.500544,.30049232,.46195075,.27177319,.1317507
Indonesia Barat,Jawa,739466.88,13.513685,.30121624,.33641925,.35908541,.16908887
Indonesia Barat,Jawa,746274.13,13.522848,.38338959,.26361153,.29555702,.17817143
Indonesia Barat,Jawa,746917.31,13.523709,.21226728,.32248172,.32602894,.1218391
Indonesia Barat,Jawa,751019.69,13.529187,.29304904,.32118046,.28685531,.12907736
Indonesia Barat,Jawa,751677.75,13.530063,.34039709,.32002419,.27029288,.14412893
Indonesia Barat,Jawa,760645.06,13.541923,.33551297,.37118316,.42657378,.23036987
Indonesia Barat,Jawa,781577.94,13.56907,.31810054,.36215767,.3749325,.18728325
Indonesia Barat,Jawa,785453,13.574016,.24538553,.30984664,.38395527,.20169552
Indonesia Barat,Jawa,794645.56,13.585651,.25413102,.33767587,.36817461,.19091554
Indonesia Barat,Jawa,795832,13.587143,.21009479,.24971183,.36041576,.16231547
Indonesia Barat,Jawa,799626.63,13.5919,.5000478,.45224947,.33172923,.17303173
Indonesia Barat,Jawa,814338,13.610131,.51779795,.45308089,.44834799,.24828547
Indonesia Barat,Jawa,815801.63,13.611926,.45937636,.36474228,.28018525,.12436716
Indonesia Barat,Jawa,822150.44,13.619678,.45880082,.44995525,.32585213,.15375036
Indonesia Barat,Jawa,823510.19,13.621331,.35022014,.30704048,.35812259,.16275875
Indonesia Barat,Jawa,823899.31,13.621803,.15261701,.27211073,.39035857,.20218162
Indonesia Barat,Jawa,832917.94,13.63269,.36291635,.49839354,.34252247,.15423484
Indonesia Barat,Jawa,834655.06,13.634774,.48626858,.30836925,.28572193,.13088684
Indonesia Barat,Jawa,836214,13.63664,.37032762,.33736539,.29112461,.14089508
Indonesia Barat,Jawa,838488.56,13.639357,.55206436,.3886719,.33281577,.16368334
Indonesia Barat,Jawa,843062.06,13.644795,.65539747,.54463905,.4041976,.19119118
Indonesia Barat,Jawa,844763.13,13.646811,.44235986,.32359973,.36729181,.16603744
Indonesia Barat,Jawa,846289.69,13.648617,.50669491,.39242053,.31258199,.17619251
Indonesia Barat,Jawa,847561.38,13.650119,.25167415,.34510717,.38550931,.2107475
Indonesia Barat,Jawa,847840.25,13.650448,.33979526,.25616136,.4104349,.2310137
Indonesia Barat,Jawa,858977.19,13.663498,.8861829,.42948237,.35538167,.18967509
Indonesia Barat,Jawa,868083,13.674043,.65846342,.53122813,.35293609,.18084992
Indonesia Barat,Jawa,871385.94,13.67784,.39125445,.38900626,.35762054,.17494461
